Date,CO2,Vent,Humidite,NO_Monoxyde_azote,NOX_Oxyde_azote,O3_Ozone,Poussieres,SO2_Dioxyde_de_soufre,Temperature,Direction_vent
01/01/2019,0.63,101.64,79.79,117.68,147.46,0.98,14.89,10.73,2.22,2.01
02/01/2019,0.62,117.99,78.78,85.94,115.23,0.85,14.65,10.01,2.22,2.07
03/01/2019,0.63,114.96,76.95,54.69,83.98,0.98,15.63,8.94,2.43,1.62
04/01/2019,0.55,125.77,77.34,39.06,67.87,0.85,14.40,8.94,2.41,2.46
05/01/2019,0.47,127.88,80.13,29.30,57.13,0.73,12.70,8.94,1.97,2.53
06/01/2019,0.42,132.49,81.18,29.30,54.69,0.85,11.23,8.58,1.78,1.77
07/01/2019,0.63,139.61,83.45,38.57,64.45,0.85,8.79,8.58,1.23,1.37
08/01/2019,0.46,126.03,84.89,29.30,54.69,0.85,7.08,8.58,1.11,2.87
09/01/2019,0.31,126.30,81.23,18.55,42.97,1.34,7.81,7.87,1.64,2.54
10/01/2019,0.38,123.92,81.13,14.16,36.62,1.10,9.28,8.58,1.39,1.75
11/01/2019,0.40,147.39,82.28,23.93,47.85,1.10,11.47,8.94,1.07,1.99
12/01/2019,0.60,164.53,82.71,29.30,53.22,0.98,13.92,9.30,0.88,1.87
13/01/2019,0.63,188.92,84.84,65.92,91.80,1.10,16.36,10.37,0.35,1.42
14/01/2019,1.29,188.12,88.82,174.80,204.59,1.59,19.78,15.38,-0.44,1.26
15/01/2019,2.22,166.24,91.02,246.58,280.76,2.20,23.93,21.10,-0.42,0.96
16/01/2019,6.36,137.76,90.33,546.88,597.17,4.15,30.03,35.05,-0.14,1.08
17/01/2019,5.11,117.46,89.60,503.91,558.59,3.42,38.57,49.72,0.60,1.32
18/01/2019,2.19,132.89,82.18,211.91,247.07,1.10,50.54,35.41,2.16,2.49
19/01/2019,1.76,129.33,78.34,182.13,215.82,1.83,52.25,32.90,3.15,1.92
